freq,Z_real,Z_imag
0.01,13452.215897196213,-2168.734742372994
0.01226330684177562,13227.7434181438,-2598.8783490393616
0.0150388694695541,12908.819284644598,-3081.3314203759583
0.01844262708585533,12467.151464337581,-3599.151309950551
0.022616759492228647,11876.703176296627,-4119.361031042735
0.02773562614198412,11123.518335512967,-4591.199025569111
0.03401304938279253,10218.194025246663,-4951.550948246473
0.04171124612056516,9204.620019587235,-5140.32204276243
0.05115178099293145,8156.262857788162,-5121.699244595083
0.06272899858196243,7157.106327374102,-4899.389821941935
0.07692649574879146,6276.391575701372,-4514.963556844983
0.09433732216299774,5551.9462398148835,-4030.553591119642
0.11568875283162833,4989.172502375316,-3507.9341359200175
0.1418726674116596,4571.0927509302865,-2994.8646838236878
0.17398280529303659,4270.6805298140025,-2521.237699878846
0.21336045265014109,4059.923024159481,-2101.62297882716
0.26165046987488183,3914.5051031692,-1739.988620760886
0.320869999737045,3815.2850924870636,-1434.0665376863558
0.39349272630958454,3748.0623559000837,-1178.502346966914
0.48255220427412787,3702.6906072211978,-966.8192083323369
0.5917685748188819,3672.094043189021,-792.5103007350601
0.7257039612324216,3651.414995293094,-649.5758570044605
0.8899530352885224,3637.3518656719084,-532.7377260839269
1.0913767146512738,3627.674316366335,-437.4809832561286
1.3383887531737564,3620.8804031737895,-360.0109364035148
1.64130719537513,3615.9592453596956,-297.17466479462735
2.0127853758499383,3612.2289467822793,-246.37291412055762
2.4683404670686513,3609.2268350518725,-205.47499193199786
3.0270016537634614,3606.6354986679016,-172.74215529338133
3.7121050090663648,3604.2330635686553,-146.7612616313238
4.55226827550731,3601.8597643035737,-126.38862440414908
5.5825862688627,3599.395408727633,-110.70319853748447
6.846096838574658,3596.7440888500496,-98.96792834543693
8.395578619995103,3593.823683748813,-90.59805747524402
10.295755673125127,3590.5585053073046,-85.13528500869091
12.626001098748565,3586.873976994199,-82.2267809175564
15.48365256585499,3582.6925956887394,-81.60821090034501
18.988078244652634,3577.930665379741,-83.09004788119017
23.285662984981965,3572.4954493180803,-86.54655776868829
28.555923019901062,3566.282490859237,-91.90693802918835
35.01900461431709,3559.172921097337,-99.14815906083771
42.944879887892725,3551.0306160468053,-108.28911096303464
52.66462393484275,3541.699096504578,-119.385692959461
64.58424430196978,3530.9980865875805,-132.52650021414328
79.20164050192548,3518.71966797533,-147.82876367991503
97.12740198471168,3504.6239915689985,-165.4341835238214
119.11031332830068,3488.434542571097,-185.5042665040752
146.06863203649888,3469.8330059445516,-208.21473428168852
179.1284454622004,3448.4538554043675,-233.74851676698887
219.67070907932353,3423.8789008020244,-262.28678922800816
269.3889309590173,3395.6321875748326,-293.9974662394555
330.35991201283395,3363.175859403503,-329.0205495622139
405.1304969235382,3325.907879841326,-367.44977122713976
496.8239594734388,3283.1628603068775,-409.3101210954557
609.2704661368681,3234.217642666982,-454.5311575352828
747.1670675868082,3178.3036862721005,-502.91653842586527
916.2739011886731,3114.6286169056725,-554.1110434888759
1123.6548001387516,3042.409352874493,-607.5675265108184
1377.9723598335568,2960.9188107954737,-662.517705273366
1689.8497868124568,2869.547047826481,-717.9523058891866
2072.3146452190294,2767.875582693743,-772.6174735786716
2541.3430367026367,2655.7604771634124,-825.0349714159947
3116.52694492943,2533.4158130138617,-873.5527821256038
3821.892620633119,2401.4852333986964,-916.4296269455247
4686.904192314192,2261.086533772809,-951.9513618754913
5747.694424835352,2113.814465592494,-978.5697966376437
7048.574036451903,1961.691199466193,-995.046889497328
8643.88262059827,1807.0623839292405,-1000.5820307631864
10600.258488068825,1652.4478196498117,-994.8997330945602
12999.42224413245,1500.366303097189,-978.2807121890964
15941.590374559995,1353.1606218608506,-951.5300763385894
19549.661430912594,1212.848645233087,-915.8890428442961
23974.349678010785,1081.0199628909243,-872.9072914637416
29400.480643347077,958.7869637970257,-824.2986635964412
36054.71154250506,846.7881775715689,-771.8024566097935
44214.99907374487,745.2332525868159,-717.0672808141603
54222.21006501592,653.9747108758254,-661.5668430030644
66494.35996665046,572.5914821417867,-606.5496185114483
81544.0739518517,500.47192586929054,-553.0188454845761
100000.0,436.88802279871936,-501.73620032811505
